DATA SET,DATE,PLAYER FULL NAME,POSITION,OWN TEAM,OPP TEAM,VENUE (R/H),MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
2007-2008 Regular Season,12/26/2007,Tony Allen,SG,Boston,Sacramento,R,12.2,2,5,0,0,0,0,0,0,0,1,4,0,4,0,4
2007-2008 Regular Season,12/26/2007,Brian Scalabrine,PF,Boston,Sacramento,R,6.3,0,1,0,0,0,0,1,2,3,1,0,0,0,0,0
2007-2008 Regular Season,12/26/2007,Metta World Peace,SF,Sacramento,Boston,H,41.2,4,15,0,5,7,9,2,4,6,1,2,2,2,0,15
2007-2008 Regular Season,12/26/2007,Mikki Moore,C,Sacramento,Boston,H,22.5,4,5,0,0,0,0,2,3,5,0,4,0,2,0,8
2007-2008 Regular Season,12/26/2007,Brad Miller,C,Sacramento,Boston,H,33.8,2,11,0,2,3,3,2,9,11,0,2,2,5,0,7
2007-2008 Regular Season,12/26/2007,John Salmons,PG,Sacramento,Boston,H,41.4,6,11,1,1,0,2,0,4,4,3,3,2,4,2,13
2007-2008 Regular Season,12/26/2007,Beno Udrih,PG,Sacramento,Boston,H,37.7,3,10,0,1,0,0,1,4,5,5,3,1,3,0,6
2007-2008 Regular Season,12/26/2007,Kenny Thomas,PF,Sacramento,Boston,H,9.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
2007-2008 Regular Season,12/26/2007,Francisco Garcia,SF,Sacramento,Boston,H,25.4,4,6,1,3,3,4,1,1,2,1,2,1,1,1,12
2007-2008 Regular Season,12/26/2007,Quincy Douby,PG,Sacramento,Boston,H,12.7,2,6,0,3,1,1,0,1,1,1,1,2,1,0,5
2007-2008 Regular Season,12/26/2007,Spencer Hawes,C,Sacramento,Boston,H,7.2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2
2007-2008 Regular Season,12/26/2007,Dahntay Jones,SG,Sacramento,Boston,H,9.1,0,2,0,0,1,2,0,1,1,0,2,1,1,1,1
2007-2008 Regular Season,12/26/2007,Ryan Gomes,PF,Minnesota,Golden State,R,26.2,4,9,1,2,5,6,3,2,5,0,5,2,2,0,14
2007-2008 Regular Season,12/26/2007,Craig Smith,PF,Minnesota,Golden State,R,31.0,3,8,0,0,2,2,2,6,8,2,4,1,2,0,8
2007-2008 Regular Season,12/26/2007,Al Jefferson,PF,Minnesota,Golden State,R,40.7,8,18,0,1,4,8,10,9,19,3,2,3,5,1,20
2007-2008 Regular Season,12/26/2007,Corey Brewer,SF,Minnesota,Golden State,R,16.1,2,4,0,1,0,0,0,0,0,2,3,2,3,0,4
2007-2008 Regular Season,12/26/2007,Sebastian Telfair,PG,Minnesota,Golden State,R,24.4,5,10,0,1,2,2,1,2,3,4,2,1,3,0,12
2007-2008 Regular Season,12/26/2007,Rashad McCants,SG,Minnesota,Golden State,R,34.5,5,10,3,6,2,3,1,2,3,0,3,0,4,0,15
2007-2008 Regular Season,12/26/2007,Marko Jaric,SF,Minnesota,Golden State,R,25.2,4,11,1,2,6,8,0,8,8,5,4,0,0,1,15
2007-2008 Regular Season,12/26/2007,Antoine Walker,PF,Minnesota,Golden State,R,23.9,3,13,2,6,3,6,2,3,5,1,2,0,1,2,11
2007-2008 Regular Season,12/26/2007,Gerald Green,SG,Minnesota,Golden State,R,6.2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
2007-2008 Regular Season,12/26/2007,Greg Buckner,SG,Minnesota,Golden State,R,11.8,1,2,0,0,0,0,0,0,0,1,1,1,0,0,2
2007-2008 Regular Season,12/26/2007,Stephen Jackson,SF,Golden State,Minnesota,H,40.1,6,15,1,6,6,7,1,5,6,6,2,2,5,0,19
2007-2008 Regular Season,12/26/2007,Al Harrington,PF,Golden State,Minnesota,H,27.4,4,14,3,7,0,0,1,2,3,2,4,2,0,1,11
2007-2008 Regular Season,12/26/2007,Andris Biedrins,C,Golden State,Minnesota,H,29.0,3,5,0,0,0,0,3,8,11,1,5,0,1,3,6
2007-2008 Regular Season,12/26/2007,Monta Ellis,SG,Golden State,Minnesota,H,44.7,13,21,0,1,9,10,2,4,6,4,3,2,1,1,35
2007-2008 Regular Season,12/26/2007,Baron Davis,PG,Golden State,Minnesota,H,40.7,10,21,3,9,4,7,3,3,6,7,2,2,4,3,27
2007-2008 Regular Season,12/26/2007,DJ Mbenga,,Golden State,Minnesota,H,8.9,0,2,0,0,0,0,0,3,3,1,1,0,1,1,0
2007-2008 Regular Season,12/26/2007,Matt Barnes,SF,Golden State,Minnesota,H,16.5,0,2,0,2,2,2,1,1,2,4,3,2,2,0,2
2007-2008 Regular Season,12/26/2007,Kelenna Azubuike,SG,Golden State,Minnesota,H,24.1,1,8,0,4,0,0,1,3,4,1,2,1,1,1,2
2007-2008 Regular Season,12/26/2007,Mickael Pietrus,PG,Golden State,Minnesota,H,8.7,1,2,1,2,0,0,1,1,2,0,2,0,1,0,3
2007-2008 Regular Season,12/27/2007,LeBron James,SG,Cleveland,Dallas,R,36.3,9,21,1,4,5,10,4,4,8,7,5,3,3,0,24
2007-2008 Regular Season,12/27/2007,Drew Gooden,PF,Cleveland,Dallas,R,35.2,2,11,0,0,3,4,3,6,9,1,2,0,1,0,7
2007-2008 Regular Season,12/27/2007,Zydrunas Ilgauskas,C,Cleveland,Dallas,R,31.6,7,16,0,0,4,5,5,6,11,1,2,1,1,0,18
2007-2008 Regular Season,12/27/2007,Sasha Pavlovic,SF,Cleveland,Dallas,R,20.5,1,5,0,1,0,0,1,2,3,1,3,1,2,0,2
2007-2008 Regular Season,12/27/2007,Larry Hughes,SG,Cleveland,Dallas,R,33.3,6,15,0,2,5,5,1,8,9,3,1,0,3,1,17
2007-2008 Regular Season,12/27/2007,Anderson Varejao,PF,Cleveland,Dallas,R,22.1,1,3,0,0,0,2,0,6,6,0,2,0,0,1,2
2007-2008 Regular Season,12/27/2007,Daniel Gibson,PG,Cleveland,Dallas,R,33.7,2,8,1,6,3,3,0,3,3,1,3,1,1,0,8
2007-2008 Regular Season,12/27/2007,Ira Newble,SF,Cleveland,Dallas,R,7.2,1,2,0,1,1,2,1,0,1,0,0,1,0,0,3
2007-2008 Regular Season,12/27/2007,Devin Brown,SG,Cleveland,Dallas,R,20.3,3,7,0,2,1,1,1,5,6,1,2,1,1,0,7
2007-2008 Regular Season,12/27/2007,Josh Howard,SF,Dallas,Cleveland,H,35.2,9,18,1,2,0,2,0,7,7,2,3,0,3,1,19
2007-2008 Regular Season,12/27/2007,Dirk Nowitzki,PF,Dallas,Cleveland,H,39.9,6,17,0,2,7,8,4,16,20,1,1,0,1,1,19
2007-2008 Regular Season,12/27/2007,Erick Dampier,C,Dallas,Cleveland,H,23.8,0,3,0,0,1,2,0,2,2,0,3,1,0,3,1
2007-2008 Regular Season,12/27/2007,Eddie Jones,SG,Dallas,Cleveland,H,18.9,3,4,2,3,1,1,0,2,2,3,2,1,1,0,9
2007-2008 Regular Season,12/27/2007,Devin Harris,PG,Dallas,Cleveland,H,32.2,2,8,0,3,5,6,1,3,4,6,4,3,3,0,9
2007-2008 Regular Season,12/27/2007,Juwan Howard,PF,Dallas,Cleveland,H,5.7,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0
2007-2008 Regular Season,12/27/2007,Jerry Stackhouse,SG,Dallas,Cleveland,H,27.8,3,8,0,4,5,6,0,2,2,0,2,0,2,0,11
2007-2008 Regular Season,12/27/2007,Jason Terry,PG,Dallas,Cleveland,H,27.5,3,12,1,6,4,4,0,1,1,0,1,2,1,1,11
2007-2008 Regular Season,12/27/2007,Devean George,SF,Dallas,Cleveland,H,6.4,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0
2007-2008 Regular Season,12/27/2007,Brandon Bass,PF,Dallas,Cleveland,H,18.6,1,4,0,0,0,0,1,3,4,2,0,1,1,1,2
2007-2008 Regular Season,12/27/2007,DeSagana Diop,C,Dallas,Cleveland,H,4.1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0
2007-2008 Regular Season,12/27/2007,Grant Hill,SF,Phoenix,LA Clippers,R,24.5,7,10,0,0,2,2,0,3,3,3,2,0,2,3,16
2007-2008 Regular Season,12/27/2007,Shawn Marion,SF,Phoenix,LA Clippers,R,28.8,4,6,1,1,0,0,0,5,5,4,2,1,2,1,9
2007-2008 Regular Season,12/27/2007,Amar'e Stoudemire,PF,Phoenix,LA Clippers,R,26.5,11,14,0,0,8,10,3,12,15,1,1,0,3,4,30
2007-2008 Regular Season,12/27/2007,Raja Bell,SG,Phoenix,LA Clippers,R,28.4,1,6,0,3,0,0,0,5,5,2,4,1,0,0,2
2007-2008 Regular Season,12/27/2007,Steve Nash,PG,Phoenix,LA Clippers,R,26.3,3,7,1,3,2,2,0,1,1,12,4,0,3,0,9
2007-2008 Regular Season,12/27/2007,Leandro Barbosa,PG,Phoenix,LA Clippers,R,31.6,5,13,2,5,4,4,0,4,4,6,4,1,0,0,16
2007-2008 Regular Season,12/27/2007,Boris Diaw,SG,Phoenix,LA Clippers,R,24.0,2,8,0,0,2,2,0,4,4,1,0,1,2,0,6
2007-2008 Regular Season,12/27/2007,Brian Skinner,PF,Phoenix,LA Clippers,R,22.5,3,4,0,0,1,1,0,8,8,1,3,0,4,1,7
2007-2008 Regular Season,12/27/2007,Marcus Banks,PG,Phoenix,LA Clippers,R,12.0,4,8,2,3,1,1,0,0,0,0,4,1,2,0,11
2007-2008 Regular Season,12/27/2007,Eric Piatkowski,SF,Phoenix,LA Clippers,R,6.8,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
2007-2008 Regular Season,12/27/2007,Sean Marks,PF,Phoenix,LA Clippers,R,5.9,1,2,0,1,0,0,0,0,0,0,1,0,0,0,2
2007-2008 Regular Season,12/27/2007,Alando Tucker,SF,Phoenix,LA Clippers,R,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-2008 Regular Season,12/27/2007,Corey Maggette,SF,LA Clippers,Phoenix,H,31.6,7,18,1,3,6,7,1,4,5,2,5,0,2,0,21
2007-2008 Regular Season,12/27/2007,Al Thornton,PF,LA Clippers,Phoenix,H,31.4,6,13,1,3,1,2,2,4,6,1,3,1,1,0,14
2007-2008 Regular Season,12/27/2007,Chris Kaman,C,LA Clippers,Phoenix,H,41.1,4,17,0,0,1,4,4,5,9,0,2,1,5,2,9
2007-2008 Regular Season,12/27/2007,Cuttino Mobley,SG,LA Clippers,Phoenix,H,33.4,6,13,0,0,2,2,0,4,4,1,1,0,1,0,14
2007-2008 Regular Season,12/27/2007,Brevin Knight,PG,LA Clippers,Phoenix,H,18.7,0,1,0,0,0,0,1,1,2,4,1,2,0,0,0
2007-2008 Regular Season,12/27/2007,Sam Cassell,PG,LA Clippers,Phoenix,H,19.6,2,7,0,0,1,2,0,0,0,5,1,0,0,1,5
2007-2008 Regular Season,12/27/2007,Josh Powell,PF,LA Clippers,Phoenix,H,12.6,0,5,0,0,2,2,5,3,8,1,1,0,1,0,2
2007-2008 Regular Season,12/27/2007,Richie Frahm,SF,LA Clippers,Phoenix,H,17.7,4,7,1,3,0,2,1,0,1,0,1,0,2,0,9
2007-2008 Regular Season,12/27/2007,Dan Dickau,PG,LA Clippers,Phoenix,H,17.5,1,7,0,3,4,4,0,3,3,3,2,0,0,0,6
2007-2008 Regular Season,12/27/2007,Quinton Ross,SG,LA Clippers,Phoenix,H,16.5,4,4,0,0,0,2,0,4,4,4,2,2,0,0,8
2007-2008 Regular Season,12/27/2007,Paul Pierce,SF,Boston,Seattle,R,43.4,11,27,5,7,10,11,2,4,6,4,1,1,1,0,37
2007-2008 Regular Season,12/27/2007,Kevin Garnett,PF,Boston,Seattle,R,33.7,8,22,0,0,7,11,6,8,14,2,0,2,1,2,23
2007-2008 Regular Season,12/27/2007,Kendrick Perkins,C,Boston,Seattle,R,23.6,3,4,0,0,2,5,3,5,8,1,1,0,1,1,8
2007-2008 Regular Season,12/27/2007,Ray Allen,SG,Boston,Seattle,R,38.1,4,13,2,4,0,0,0,1,1,3,0,0,0,0,10
2007-2008 Regular Season,12/27/2007,Rajon Rondo,PG,Boston,Seattle,R,30.5,0,3,0,0,1,2,1,3,4,5,3,0,0,0,1
2007-2008 Regular Season,12/27/2007,Scot Pollard,C,Boston,Seattle,R,13.6,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0
2007-2008 Regular Season,12/27/2007,Tony Allen,SG,Boston,Seattle,R,14.6,0,3,0,0,2,2,0,2,2,3,2,0,0,0,2
2007-2008 Regular Season,12/27/2007,James Posey,SF,Boston,Seattle,R,24.2,3,6,2,5,2,2,1,2,3,2,2,0,0,0,10
2007-2008 Regular Season,12/27/2007,Eddie House,PG,Boston,Seattle,R,17.8,5,8,0,3,3,3,1,3,4,1,2,1,0,0,13
2007-2008 Regular Season,12/27/2007,Brian Scalabrine,PF,Boston,Seattle,R,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-2008 Regular Season,12/27/2007,Damien Wilkins,SF,Seattle,Boston,H,18.9,1,5,0,1,0,0,0,2,2,1,1,0,0,1,2
2007-2008 Regular Season,12/27/2007,Chris Wilcox,PF,Seattle,Boston,H,27.3,6,10,0,0,1,2,1,7,8,1,3,0,1,1,13
2007-2008 Regular Season,12/27/2007,Kurt Thomas,PF,Seattle,Boston,H,29.6,2,4,0,0,3,3,5,9,14,1,6,0,0,4,7
2007-2008 Regular Season,12/27/2007,Kevin Durant,SG,Seattle,Boston,H,37.0,10,23,1,4,4,4,1,4,5,2,4,1,3,1,25
2007-2008 Regular Season,12/27/2007,Earl Watson,PG,Seattle,Boston,H,27.7,3,9,0,2,0,0,0,1,1,5,2,1,0,0,6
2007-2008 Regular Season,12/27/2007,Nick Collison,C,Seattle,Boston,H,19.0,2,6,0,1,0,0,4,2,6,1,2,0,1,1,4
2007-2008 Regular Season,12/27/2007,Wally Szczerbiak,SF,Seattle,Boston,H,24.2,5,11,2,4,2,2,0,3,3,0,2,0,2,0,14
2007-2008 Regular Season,12/27/2007,Jeff Green,SF,Seattle,Boston,H,14.7,1,2,0,0,2,4,0,3,3,0,1,1,3,2,4
2007-2008 Regular Season,12/27/2007,Delonte West,SG,Seattle,Boston,H,25.2,6,8,1,1,6,8,0,4,4,8,1,0,1,0,19
2007-2008 Regular Season,12/27/2007,Mickael Gelabale,SF,Seattle,Boston,H,11.0,0,1,0,0,0,0,0,2,2,0,1,0,0,0,0
2007-2008 Regular Season,12/27/2007,Johan Petro,C,Seattle,Boston,H,5.5,1,2,0,0,0,0,0,2,2,0,0,0,0,0,2
2007-2008 Regular Season,12/28/2007,David West,PF,New Orleans,Charlotte,R,35.6,9,15,0,0,2,2,3,7,10,4,2,1,2,4,20
2007-2008 Regular Season,12/28/2007,Peja Stojakovic,SF,New Orleans,Charlotte,R,29.0,4,12,1,6,0,0,1,1,2,1,2,2,1,0,9
2007-2008 Regular Season,12/28/2007,Tyson Chandler,C,New Orleans,Charlotte,R,33.5,7,8,0,0,3,4,4,13,17,0,3,0,2,0,17
2007-2008 Regular Season,12/28/2007,Morris Peterson,SG,New Orleans,Charlotte,R,26.7,3,9,1,5,1,2,2,2,4,0,3,0,1,0,8
2007-2008 Regular Season,12/28/2007,Chris Paul,PG,New Orleans,Charlotte,R,33.8,4,12,1,1,8,9,0,2,2,11,1,1,0,0,17
2007-2008 Regular Season,12/28/2007,Rasual Butler,SG,New Orleans,Charlotte,R,19.0,1,5,1,3,2,2,0,3,3,1,3,1,0,0,5
2007-2008 Regular Season,12/28/2007,Bobby Jackson,PG,New Orleans,Charlotte,R,21.3,4,10,2,5,1,1,0,2,2,2,0,2,1,0,11
2007-2008 Regular Season,12/28/2007,Hilton Armstrong,C,New Orleans,Charlotte,R,14.5,0,1,0,0,2,2,1,3,4,2,2,0,5,0,2
2007-2008 Regular Season,12/28/2007,Julian Wright,SF,New Orleans,Charlotte,R,12.4,2,5,0,0,0,1,0,0,0,0,1,1,0,0,4
2007-2008 Regular Season,12/28/2007,Jannero Pargo,PG,New Orleans,Charlotte,R,14.2,3,5,0,0,0,0,0,1,1,1,1,0,1,0,6
2007-2008 Regular Season,12/28/2007,Gerald Wallace,SF,Charlotte,New Orleans,H,46.7,5,16,0,3,4,5,0,1,1,4,3,3,2,1,14
2007-2008 Regular Season,12/28/2007,Emeka Okafor,PF,Charlotte,New Orleans,H,32.5,3,5,0,0,4,5,2,11,13,0,2,0,2,0,10
2007-2008 Regular Season,12/28/2007,Nazr Mohammed,C,Charlotte,New Orleans,H,29.9,7,12,0,0,1,2,4,10,14,0,2,3,1,1,15
2007-2008 Regular Season,12/28/2007,Jason Richardson,SG,Charlotte,New Orleans,H,38.5,9,19,3,6,4,4,0,3,3,2,2,0,0,0,25
2007-2008 Regular Season,12/28/2007,Raymond Felton,PG,Charlotte,New Orleans,H,29.7,2,10,0,2,0,0,1,2,3,4,5,0,3,0,4
2007-2008 Regular Season,12/28/2007,Jeff McInnis,PG,Charlotte,New Orleans,H,18.3,0,4,0,0,0,0,1,3,4,6,4,1,4,0,0
2007-2008 Regular Season,12/28/2007,Matt Carroll,SG,Charlotte,New Orleans,H,21.3,2,7,1,3,0,0,0,1,1,0,4,1,0,0,5
2007-2008 Regular Season,12/28/2007,Derek Anderson,SG,Charlotte,New Orleans,H,13.2,3,4,1,1,1,3,0,1,1,1,2,0,2,0,8
2007-2008 Regular Season,12/28/2007,Ryan Hollins,C,Charlotte,New Orleans,H,10.0,1,1,0,0,2,2,1,0,1,0,1,0,1,0,4
2007-2008 Regular Season,12/28/2007,Caron Butler,SF,Washington,New Jersey,R,39.2,11,19,3,8,3,4,1,5,6,6,2,2,1,0,28
2007-2008 Regular Season,12/28/2007,Antawn Jamison,SF,Washington,New Jersey,R,42.3,9,19,1,2,8,9,4,9,13,1,4,0,1,0,27
2007-2008 Regular Season,12/28/2007,Brendan Haywood,C,Washington,New Jersey,R,31.1,5,12,0,0,3,4,8,2,10,1,1,2,1,1,13
2007-2008 Regular Season,12/28/2007,DeShawn Stevenson,SG,Washington,New Jersey,R,26.5,1,7,1,4,1,2,0,2,2,5,1,0,0,0,4
2007-2008 Regular Season,12/28/2007,Roger Mason Jr.,,Washington,New Jersey,R,34.6,4,14,2,7,2,2,0,3,3,3,3,0,1,0,12
2007-2008 Regular Season,12/28/2007,Andray Blatche,PF,Washington,New Jersey,R,15.6,2,4,0,0,1,2,2,1,3,1,5,0,2,0,5
2007-2008 Regular Season,12/28/2007,Mike Wilks,PG,Washington,New Jersey,R,8.3,0,1,0,0,0,0,0,1,1,1,1,2,0,0,0
2007-2008 Regular Season,12/28/2007,Darius Songaila,PF,Washington,New Jersey,R,9.8,1,2,0,0,0,0,1,0,1,1,1,0,1,0,2
2007-2008 Regular Season,12/28/2007,Nick Young,SG,Washington,New Jersey,R,27.3,5,8,1,2,4,4,1,3,4,1,4,1,3,0,15
2007-2008 Regular Season,12/28/2007,Dominic McGuire,SG,Washington,New Jersey,R,5.3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2007-2008 Regular Season,12/28/2007,Richard Jefferson,SF,New Jersey,Washington,H,33.4,7,15,0,1,12,13,2,3,5,2,3,0,0,1,26
2007-2008 Regular Season,12/28/2007,Sean Williams,C,New Jersey,Washington,H,34.1,6,10,0,0,2,2,4,6,10,0,3,0,0,5,14
2007-2008 Regular Season,12/28/2007,Josh Boone,PF,New Jersey,Washington,H,30.6,2,5,0,0,1,2,4,4,8,1,1,0,1,0,5
2007-2008 Regular Season,12/28/2007,Vince Carter,SF,New Jersey,Washington,H,41.4,7,19,2,5,8,8,4,1,5,7,1,0,2,1,24
2007-2008 Regular Season,12/28/2007,Jason Kidd,PG,New Jersey,Washington,H,37.6,6,16,4,7,4,4,1,7,8,12,0,2,4,0,20
2007-2008 Regular Season,12/28/2007,Bostjan Nachbar,SF,New Jersey,Washington,H,29.0,4,11,2,4,2,2,0,2,2,2,3,3,1,0,12
2007-2008 Regular Season,12/28/2007,Malik Allen,PF,New Jersey,Washington,H,18.5,3,4,0,0,0,0,1,1,2,0,4,0,0,1,6
2007-2008 Regular Season,12/28/2007,Marcus Williams,PG,New Jersey,Washington,H,9.4,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2
2007-2008 Regular Season,12/28/2007,Jason Collins,C,New Jersey,Washington,H,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-2008 Regular Season,12/28/2007,Darrell Armstrong,PG,New Jersey,Washington,H,1.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
2007-2008 Regular Season,12/28/2007,Billy Thomas,SF,New Jersey,Washington,H,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-2008 Regular Season,12/28/2007,Hedo Turkoglu,SF,Orlando,Miami,R,45.6,8,18,4,10,2,2,0,6,6,6,3,2,3,2,22
2007-2008 Regular Season,12/28/2007,Rashard Lewis,SF,Orlando,Miami,R,44.9,6,20,2,9,3,3,4,4,8,3,4,0,1,1,17
2007-2008 Regular Season,12/28/2007,Dwight Howard,PF,Orlando,Miami,R,44.4,10,15,0,0,9,11,7,14,21,0,3,0,3,1,29
2007-2008 Regular Season,12/28/2007,Keith Bogans,SF,Orlando,Miami,R,37.4,5,12,3,9,0,0,2,2,4,2,2,2,2,0,13
2007-2008 Regular Season,12/28/2007,Jameer Nelson,PG,Orlando,Miami,R,19.0,2,5,1,1,0,0,1,1,2,5,1,0,2,0,5
2007-2008 Regular Season,12/28/2007,Keyon Dooling,PG,Orlando,Miami,R,15.8,4,6,0,1,2,2,0,1,1,2,3,0,2,0,10
2007-2008 Regular Season,12/28/2007,Maurice Evans,SG,Orlando,Miami,R,18.5,3,5,1,2,3,4,2,1,3,1,3,0,3,0,10
2007-2008 Regular Season,12/28/2007,Carlos Arroyo,PG,Orlando,Miami,R,30.8,4,11,1,2,4,6,3,4,7,5,1,0,0,0,13
2007-2008 Regular Season,12/28/2007,Adonal Foyle,C,Orlando,Miami,R,5.5,1,2,0,0,0,0,0,0,0,0,1,0,0,0,2
2007-2008 Regular Season,12/28/2007,James Augustine,PF,Orlando,Miami,R,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-2008 Regular Season,12/28/2007,Dorell Wright,SF,Miami,Orlando,H,41.7,7,13,0,0,0,0,0,6,6,1,5,3,0,3,14
2007-2008 Regular Season,12/28/2007,Udonis Haslem,PF,Miami,Orlando,H,48.8,8,16,0,0,1,1,3,6,9,3,5,0,1,1,17
2007-2008 Regular Season,12/28/2007,Earl Barron,C,Miami,Orlando,H,15.5,0,4,0,0,0,0,0,2,2,1,0,0,0,0,0
2007-2008 Regular Season,12/28/2007,Ricky Davis,SG,Miami,Orlando,H,51.1,6,15,2,4,3,4,1,5,6,6,5,2,3,0,17
2007-2008 Regular Season,12/28/2007,Dwyane Wade,PG,Miami,Orlando,H,51.6,16,21,0,0,16,23,0,7,7,11,4,3,5,3,48
2007-2008 Regular Season,12/28/2007,Mark Blount,C,Miami,Orlando,H,6.6,1,2,0,1,0,0,1,0,1,0,1,0,0,0,2
2007-2008 Regular Season,12/28/2007,Daequan Cook,SG,Miami,Orlando,H,29.5,4,9,3,6,0,0,0,2,2,2,4,0,1,0,11
2007-2008 Regular Season,12/28/2007,Luke Jackson,SF,Miami,Orlando,H,20.3,1,5,0,2,3,3,2,0,2,1,2,1,0,0,5
2007-2008 Regular Season,12/28/2007,Danny Granger,SF,Indiana,Detroit,R,23.6,4,9,0,1,0,0,0,2,2,3,2,0,1,0,8
2007-2008 Regular Season,12/28/2007,Jermaine O'Neal,C,Indiana,Detroit,R,30.4,8,13,0,0,9,12,1,5,6,4,2,0,1,3,25
2007-2008 Regular Season,12/28/2007,Troy Murphy,PF,Indiana,Detroit,R,20.7,6,7,0,1,0,0,1,4,5,1,2,0,0,0,12
2007-2008 Regular Season,12/28/2007,Mike Dunleavy,SF,Indiana,Detroit,R,26.0,4,4,1,1,0,0,0,3,3,3,0,0,4,1,9
2007-2008 Regular Season,12/28/2007,Jamaal Tinsley,PG,Indiana,Detroit,R,17.9,2,3,0,0,0,0,0,0,0,2,1,1,3,0,4
2007-2008 Regular Season,12/28/2007,Jeff Foster,C,Indiana,Detroit,R,16.4,0,2,0,0,0,0,1,4,5,1,3,1,1,0,0
2007-2008 Regular Season,12/28/2007,Kareem Rush,PG,Indiana,Detroit,R,30.2,4,11,2,5,0,0,1,3,4,0,0,0,1,2,10
2007-2008 Regular Season,12/28/2007,Marquis Daniels,SG,Indiana,Detroit,R,13.1,0,3,0,0,2,4,1,1,2,2,4,1,3,0,2
2007-2008 Regular Season,12/28/2007,Ike Diogu,PF,Indiana,Detroit,R,21.7,2,10,0,0,5,8,6,4,10,1,2,0,0,0,9
2007-2008 Regular Season,12/28/2007,Shawne Williams,SG,Indiana,Detroit,R,13.9,3,7,0,1,3,4,0,0,0,1,1,2,1,1,9
2007-2008 Regular Season,12/28/2007,Andre Owens,PG,Indiana,Detroit,R,19.5,1,7,0,3,0,0,0,1,1,2,1,0,0,1,2
2007-2008 Regular Season,12/28/2007,Travis Diener,PG,Indiana,Detroit,R,6.9,4,5,3,4,0,0,0,0,0,2,2,0,0,0,11
2007-2008 Regular Season,12/28/2007,Tayshaun Prince,SF,Detroit,Indiana,H,26.6,7,14,0,1,1,1,0,2,2,2,0,0,1,0,15
2007-2008 Regular Season,12/28/2007,Antonio McDyess,PF,Detroit,Indiana,H,28.7,4,8,0,0,0,2,2,6,8,4,3,0,0,2,8
2007-2008 Regular Season,12/28/2007,Rasheed Wallace,PF,Detroit,Indiana,H,28.4,4,12,0,2,2,2,0,5,5,1,3,1,0,3,10
2007-2008 Regular Season,12/28/2007,Richard Hamilton,SG,Detroit,Indiana,H,29.4,10,17,3,3,0,0,1,2,3,9,0,4,1,0,23
2007-2008 Regular Season,12/28/2007,Chauncey Billups,SG,Detroit,Indiana,H,33.3,3,7,0,3,8,8,3,1,4,6,0,2,3,0,14
2007-2008 Regular Season,12/28/2007,Rodney Stuckey,PG,Detroit,Indiana,H,18.4,2,5,0,0,6,6,2,1,3,3,4,3,3,0,10
2007-2008 Regular Season,12/28/2007,Jason Maxiell,PF,Detroit,Indiana,H,19.5,3,8,0,0,1,2,2,2,4,1,4,0,1,1,7
2007-2008 Regular Season,12/28/2007,Jarvis Hayes,SF,Detroit,Indiana,H,12.0,5,6,3,4,0,0,0,2,2,2,1,0,0,0,13
2007-2008 Regular Season,12/28/2007,Arron Afflalo,SG,Detroit,Indiana,H,15.0,3,4,1,1,1,4,0,2,2,1,0,0,1,1,8
2007-2008 Regular Season,12/28/2007,Primoz Brezec,C,Detroit,Indiana,H,7.5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
2007-2008 Regular Season,12/28/2007,Amir Johnson,SF,Detroit,Indiana,H,12.0,2,6,0,0,0,0,6,3,9,0,3,0,1,1,4
2007-2008 Regular Season,12/28/2007,Walter Herrmann,PF,Detroit,Indiana,H,9.4,1,2,0,1,0,0,1,0,1,0,0,0,1,0,2
2007-2008 Regular Season,12/28/2007,Shane Battier,SF,Houston,Memphis,R,40.8,6,9,3,4,3,4,1,6,7,1,2,2,1,1,18
2007-2008 Regular Season,12/28/2007,Charles Hayes,C,Houston,Memphis,R,27.1,2,3,0,0,0,0,3,8,11,1,3,1,1,0,4
2007-2008 Regular Season,12/28/2007,Yao Ming,C,Houston,Memphis,R,33.5,9,15,0,0,4,5,3,9,12,3,4,0,1,5,22
2007-2008 Regular Season,12/28/2007,Bonzi Wells,SF,Houston,Memphis,R,31.6,4,15,0,2,2,3,0,4,4,2,1,1,0,1,10
2007-2008 Regular Season,12/28/2007,Rafer Alston,PG,Houston,Memphis,R,30.0,4,13,2,7,0,0,0,2,2,6,3,0,4,0,10
