DATA SET,DATE,PLAYER FULL NAME,POSITION,OWN TEAM,OPP TEAM,VENUE (R/H),MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
2007-2008 Regular Season,10/30/2007,Chris Mihm,C,LA Lakers,Houston,H,8.5,1,3,0,0,1,3,2,0,2,0,1,0,0,0,3
2007-2008 Regular Season,10/30/2007,Andrei Kirilenko,SF,Utah,Golden State,R,40.0,3,10,0,0,3,4,5,4,9,8,1,1,3,6,9
2007-2008 Regular Season,10/30/2007,Carlos Boozer,PF,Utah,Golden State,R,36.6,12,21,0,0,8,9,3,12,15,1,4,0,2,0,32
2007-2008 Regular Season,10/30/2007,Mehmet Okur,PF,Utah,Golden State,R,15.8,0,3,0,1,0,0,1,2,3,1,3,0,3,0,0
2007-2008 Regular Season,10/30/2007,Ronnie Brewer,SG,Utah,Golden State,R,27.8,8,14,0,0,2,2,1,1,2,2,3,4,1,0,18
2007-2008 Regular Season,10/30/2007,Deron Williams,PG,Utah,Golden State,R,31.8,8,15,3,4,5,6,0,4,4,8,3,0,3,0,24
2007-2008 Regular Season,10/30/2007,Paul Millsap,PF,Utah,Golden State,R,28.1,6,10,0,0,4,6,3,7,10,0,2,1,1,1,16
2007-2008 Regular Season,10/30/2007,Jason Hart,PG,Utah,Golden State,R,16.3,1,6,0,1,3,3,0,1,1,1,4,1,4,0,5
2007-2008 Regular Season,10/30/2007,Matt Harpring,SF,Utah,Golden State,R,7.7,0,0,0,0,1,2,1,0,1,0,1,1,2,0,1
2007-2008 Regular Season,10/30/2007,Gordan Giricek,SF,Utah,Golden State,R,18.4,3,8,2,4,0,0,1,3,4,0,3,0,0,0,8
2007-2008 Regular Season,10/30/2007,CJ Miles,SG,Utah,Golden State,R,13.0,0,2,0,1,4,4,1,6,7,3,2,1,0,0,4
2007-2008 Regular Season,10/30/2007,Ronnie Price,PG,Utah,Golden State,R,3.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-2008 Regular Season,10/30/2007,Jarron Collins,C,Utah,Golden State,R,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-2008 Regular Season,10/30/2007,Kelenna Azubuike,SG,Golden State,Utah,H,30.5,4,7,1,3,2,2,0,2,2,0,2,0,2,1,11
2007-2008 Regular Season,10/30/2007,Mickael Pietrus,PG,Golden State,Utah,H,27.8,6,8,3,5,2,4,0,5,5,0,5,1,1,1,17
2007-2008 Regular Season,10/30/2007,Andris Biedrins,C,Golden State,Utah,H,26.8,1,4,0,0,2,2,3,6,9,1,6,1,5,2,4
2007-2008 Regular Season,10/30/2007,Monta Ellis,SG,Golden State,Utah,H,33.3,5,14,0,2,7,10,0,2,2,3,0,1,1,1,17
2007-2008 Regular Season,10/30/2007,Baron Davis,PG,Golden State,Utah,H,36.4,7,15,0,4,11,16,0,4,4,10,5,5,4,2,25
2007-2008 Regular Season,10/30/2007,Al Harrington,PF,Golden State,Utah,H,30.3,4,10,0,2,2,4,2,4,6,2,4,0,2,1,10
2007-2008 Regular Season,10/30/2007,Matt Barnes,SF,Golden State,Utah,H,15.5,1,7,0,3,0,0,2,2,4,1,2,0,2,1,2
2007-2008 Regular Season,10/30/2007,Troy Hudson,PG,Golden State,Utah,H,15.8,1,6,0,0,0,0,0,1,1,0,1,0,2,0,2
2007-2008 Regular Season,10/30/2007,Marco Belinelli,PG,Golden State,Utah,H,12.0,2,4,2,3,0,0,0,0,0,0,0,0,1,0,6
2007-2008 Regular Season,10/30/2007,Austin Croshere,PF,Golden State,Utah,H,6.8,0,1,0,1,0,0,0,2,2,1,1,0,0,0,0
2007-2008 Regular Season,10/30/2007,Patrick O'Bryant,C,Golden State,Utah,H,4.7,1,1,0,0,0,0,0,2,2,1,2,0,0,0,2
2007-2008 Regular Season,10/31/2007,Andre Iguodala,SG,Philadelphia,Toronto,R,39.7,8,16,2,5,5,8,2,6,8,2,3,1,7,2,23
2007-2008 Regular Season,10/31/2007,Reggie Evans,PF,Philadelphia,Toronto,R,21.9,2,4,0,0,2,5,6,9,15,0,2,1,1,0,6
2007-2008 Regular Season,10/31/2007,Samuel Dalembert,C,Philadelphia,Toronto,R,25.0,2,7,0,0,0,0,3,2,5,2,4,0,1,6,4
2007-2008 Regular Season,10/31/2007,Willie Green,SG,Philadelphia,Toronto,R,36.8,5,12,1,1,1,2,0,3,3,4,1,0,1,0,12
2007-2008 Regular Season,10/31/2007,Andre Miller,PG,Philadelphia,Toronto,R,31.9,7,17,0,1,1,2,2,3,5,6,1,0,3,0,15
2007-2008 Regular Season,10/31/2007,Jason Smith,PF,Philadelphia,Toronto,R,15.7,2,4,0,0,0,0,1,3,4,1,1,1,0,1,4
2007-2008 Regular Season,10/31/2007,Kyle Korver,SF,Philadelphia,Toronto,R,32.5,7,12,4,7,2,2,0,0,0,4,2,0,2,0,20
2007-2008 Regular Season,10/31/2007,Lou Williams,SG,Philadelphia,Toronto,R,16.1,2,4,0,0,2,2,0,1,1,2,3,0,0,0,6
2007-2008 Regular Season,10/31/2007,Rodney Carney,SF,Philadelphia,Toronto,R,16.5,3,6,0,3,1,2,1,3,4,1,0,0,2,0,7
2007-2008 Regular Season,10/31/2007,Calvin Booth,C,Philadelphia,Toronto,R,4.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2007-2008 Regular Season,10/31/2007,Jason Kapono,SF,Toronto,Philadelphia,H,23.4,4,6,1,1,0,0,1,3,4,0,1,1,0,0,9
2007-2008 Regular Season,10/31/2007,Chris Bosh,C,Toronto,Philadelphia,H,25.8,6,14,0,0,4,5,0,4,4,1,1,1,2,2,16
2007-2008 Regular Season,10/31/2007,Andrea Bargnani,PF,Toronto,Philadelphia,H,22.4,6,11,3,4,5,5,2,3,5,0,3,0,1,2,20
2007-2008 Regular Season,10/31/2007,Anthony Parker,SG,Toronto,Philadelphia,H,35.0,5,10,3,5,0,0,0,6,6,3,2,1,0,0,13
2007-2008 Regular Season,10/31/2007,T.J. Ford,PG,Toronto,Philadelphia,H,31.0,6,13,0,2,2,3,0,3,3,12,4,2,1,0,14
2007-2008 Regular Season,10/31/2007,Rasho Nesterovic,C,Toronto,Philadelphia,H,12.3,2,4,0,0,0,0,1,1,2,0,0,0,1,0,4
